company name,category,based in,tags,total funding,founded,website,company status
Sonarhome,Poland,Warsaw,"Proptech, Real Estate, iBuying",Between €5 million-€10 million,2018,https://sonarhome.pl/,
Sonarworks,Latvia,Riga,"Sound Tech, Music Tech, Entertainment",,2012,www.sonarworks.com,
Sonas,Ireland,Limerick,"Venue Management, Wedding Planning, SaaS",Between €1-€100K,2015,https://www.sonas.events,
Sonder Ai,Croatia,Zagreb,"Software Development, AI, Mobile App",Between €100K-€500K,2024,https://sonder-ai.com/,Active
Sonect,Switzerland,Zuirch,"Fintech, VirtualATM, Mobile Payment, Payment, App Development, Financial Services, and Mobile Wallet",,2016,https://sonect.net/,
Songplace,Netherlands,Amsterdam,"Musicians, Automation, Playlist",Between €100K-€500K,2024,https://songplace.io,Active
Songpush,Germany,Berlin,Music,No funding announced yet,2021,https://www.songpush.com,
Songtree,Italy,Rome,"Independent Music, Music, Music Label",Between €1-€100K,2015,https://songtr.ee/,
Sonichem,UK,Melton Mowbray,"Bio-Base Chemicals, Biorefining, Renewable Chemicals, Clean Technology",Between €1 million-€ 2.5 million,2010,https://sonichem.com/,Active
Sonio,France,Paris,"Artificial Intelligence, Health Care, Medical Device",No funding announced yet,2020,https://www.sonio.ai/,
Sonitu Innovations,Netherlands,Rotterdam,"DOCSIS, FTTx, SERVAssurance, Analytic, Monitoring",No funding announced yet,2018,https://www.sonituinnovations.com,
Sono Motors,Germany,"Munich,","mobility, manufacturing, vehicle",,2016,www.sonomotors.com,
Sonoclear,Norway,Trondheim,"brain tumor resection, image artifacts, ultrasound",Between €10 million-€25 million,2016,https://sonoclear.no/,
Sonohaler,Denmark,Copenhagen,"Health Care, Medical Device",No funding announced yet,2018,https://www.sonohaler.com/,
Sonovate,UK,London,"B2B, Finance, Financial Services, FinTech, Funding Platform, Information Technology, Payments, SaaS",Above €25 million,2014,http://www.sonovate.com,
Sons,UK,London,"Health Care, Men's, Wellness",Between €1 million-€ 2.5 million,2018,https://sons.co.uk/,
Sonx,UK,London,Music,Between €1-€100K,2022,https://www.sonx.com/,Active
Sooma Medical,Finland,Helsinki,"Medical devices, Neuromodulation, Neurological devices, Therapeutics",Between €2.5 million-5 million,2013,https://soomamedical.com/,Active
Soon,Netherlands,Amsterdam,"Heads of Customer support, Customer service, Customer experience, Operation manager",No funding announced yet,2018,https://www.soon.works/,
Sooqua,Germany,Darmstadt,"Environmental Consulting, Renewable Energy, Water",No funding announced yet,2018,https://sooqua.com/,
Soort,Switzerland,Winterthur,"fintech, climate tech, AI, Blockchain",Between €1 million-€ 2.5 million,2022,https://soort.eco,Active
Sootheskin,UK,London,"beauty, skin, skin care",No funding announced yet,2019,https://www.sootheskin.com/,
Soothing Relaxation,Norway,Oslo,"music platform, downloadable music, tutorials, videos",No funding announced yet,2018,https://soothingrelaxation.com/,
Soothing Solutions,Ireland,County Meath,"Medtech, Children, Relief",,2017,https://www.supersoothas.ie,
