name,company_number,jurisdiction_code,incorporation_date,company_type,branch,inactive,registered_address_street_address,registered_address_locality,registered_address_region,registered_address_postal_code,registered_address_country,country,started_in_year
""""" ГЕКА ""ООД"" ООД",101772917,bg,,Limited Liability Company (Дружество с ограничена отговорност),,False,,,,,,Bulgaria,
""""" ГЕО И МИЛ-ГЕОРГИЕВ И СИЕ """" СД",123100402,bg,,General Partnership (Събирателно дружество),,False,"гр. Стара Загора, Сливница, No. 2",област: Стара Загора,община: Стара Загора,6000,БЪЛГАРИЯ,Bulgaria,
""""" ГЕОИНЖЕНЕРИНГ """" ЕООД",101056138,bg,,Single Limited Liability Company (Еднолично Дружество с ограничена отговорност),,False,,,,,,Bulgaria,
""""" ГЕОРГИ ДИШЛЯНОВ """" ЕООД",201995757,bg,2012-03-30,Single Limited Liability Company (Еднолично Дружество с ограничена отговорност),,False,,,,,,Bulgaria,2012.0
""""" ГЕОРГИОС РАСИМОГЛУ """" ЕООД",201065743,bg,2010-02-26,Single Limited Liability Company (Еднолично Дружество с ограничена отговорност),,False,,,,,,Bulgaria,2010.0
""""" ГЛОБЪЛ СОРС """" ООД",202216116,bg,2012-09-04,Limited Liability Company (Дружество с ограничена отговорност),,False,,,,,,Bulgaria,2012.0
""""" ГРАЙФЕР ШПЕД """" ЕООД",201886409,bg,2012-01-30,Single Limited Liability Company (Еднолично Дружество с ограничена отговорност),,False,,,,,,Bulgaria,2012.0
""""" ГРУП СКМ """" ЕООД",175198134,bg,,Single Limited Liability Company (Еднолично Дружество с ограничена отговорност),,False,"гр. София, район. р-н Красно село, ж.к. Бели  Брези, блок. 5, ап. 20",област: София (столица),община: Столична,1680,БЪЛГАРИЯ,Bulgaria,
""""" Гри Жас Клима """" ЕООД",202077702,bg,2012-05-21,Single Limited Liability Company (Еднолично Дружество с ограничена отговорност),,False,"гр. Асеновград, ул. "" Мулдавска "", No. 5, ет. 3",област: Пловдив,община: Асеновград,4230,БЪЛГАРИЯ,Bulgaria,2012.0
""""" Д Б ТРАНС-2012"""" ООД",202021550,bg,2012-04-18,Limited Liability Company (Дружество с ограничена отговорност),,False,,,,,,Bulgaria,2012.0
""""" Д-р Силвия Атанасова Славова - Амбулатория за индивидуална практика за първична медицинска помощ """" ЕООД",201920904,bg,2012-02-17,Single Limited Liability Company (Еднолично Дружество с ограничена отговорност),,False,"гр. Пловдив, район. р-н Южен, ул.""Бугариево "", No. 19, ет. 3, ап. 44",област: Пловдив,община: Пловдив,4004,БЪЛГАРИЯ,Bulgaria,2012.0
""""" ДАЛЕРИНА """" ЕООД",202202209,bg,2012-08-24,Single Limited Liability Company (Еднолично Дружество с ограничена отговорност),,False,"гр. Хасково, ”Гургулят”, No. 4, вх. В, ет. 6, ап. 72",област: Хасково,община: Хасково,6300,БЪЛГАРИЯ,Bulgaria,2012.0
""""" ДАМ- ДАВ """" ЕООД",204195539,bg,2016-08-05,Single Limited Liability Company (Еднолично Дружество с ограничена отговорност),,False,,,,,,Bulgaria,2016.0
""""" ДАНДО """" ЕООД",201753661,bg,2011-10-21,Single Limited Liability Company (Еднолично Дружество с ограничена отговорност),,False,,,,,,Bulgaria,2011.0
""""" ДЕМИ - АН - ТРАНС """" ЕООД",202051294,bg,2012-05-04,Single Limited Liability Company (Еднолично Дружество с ограничена отговорност),,False,,,,,,Bulgaria,2012.0
""" Štorije """,02921154,hr,,,,,Ruđera Boškovića 25,,Punat,51521,Croatia,Croatia,
""" ŽELJA UMA """,02920433,hr,,,,,Mate Lovraka 40,,Velika,10410,Croatia,Croatia,
"""Antenor""",04405056,hr,,,,,Žrnovo 234,,Žrnovo,20275,Croatia,Croatia,
"""BASKET-GRADAC""",02730090,hr,,,,,Viskićeva 1,,Gradac,21330,Croatia,Croatia,
