country,company_name,city,funding_amount,industry_tags,start_year,status,website
UK,Soter Analytics,London,1750000.0,"Artificial Intelligence, Enterprise Software, Internet of Things, Machine Learning, Risk Management, SaaS, Wearables",2015,True,http://www.soteranalytics.com/
UK,Sotera Heritage,London,300000.0,"AI, Big Data, Insurtech",2020,True,https://www.sotera.insure/
Greece,Sotiria Technology,Athens,50000.0,"AI, Defense, Sensing Technology",2021,True,https://www.sotiria.tech/
Spain,Soto Solar,Madrid,,"solar energy, energy tech",2018,True,www.sotosolar.com
Spain,Soty Solar,"Gijón, Spain",,"solar, marketplace, rooftop",2016,True,http://www.soty.es
Cyprus,Soula,Limassol,300000.0,"pregnancy, childbirth & postpartum care, Wellness and Fitness Services, mental health support,",2022,True,https://soula.care/
Germany,Soulbottles,Berin,,"Social Impact, Sustainability, CleanTech, Soulbottles, Berlin",2012,True,https://www.soulbottles.de
Portugal,Soulcareai,Lisbon,,"AI, Mental Health, Saas, App",2023,True,www.soulcareai.com
Netherlands,Soulpicks,Amsterdam,,"Social Media, Places, Experiences, Soulpicks, Amsterdam",2018,True,https://soulpicks.com
Germany,Soulside,Berlin,,"Apps, Art, Communities, Content, Digital Entertainment, Mobile Apps, Social Media, Social Network",2017,True,https://soulside.app/
Portugal,Sound Particles,Leiria,,"Music Tech, Audio Post Production, Sound Platform",2016,True,www.soundparticles.com
Denmark,Soundboks,Copenhagen,17500000.0,"Battery, Consumer Electronics, Electronics, Manufacturing",2015,True,https://soundboks.com/
Netherlands,Soundcell,Delft,25000000.0,"Health, IoT",2022,True,https://soundcell.nl/
France,Soundcharts,Paris,,"Music Tech, Market Intelligence, Big Data, Radio",2015,True,www.soundcharts.com
Germany,Soundcloud,Berlin,,"MusicTech, Audio Platform, Social Media",2008,True,http://www.soundcloud.com
UK,Soundclub,London,300000.0,"Concerts, Event Promotion, Music, Music Venues, Nightclubs, Nightlife, Social Network",2020,True,https://www.soundclub.com/
Netherlands,Sounders Music,"Rotterdam, Netherlands",,"artists, musicians,label manager, fan, music enthusiasts",2019,True,https://www.soundersmusic.com/
UK,Soundjam,Brighton,,"music, website builder, DJ, eCommerce",2019,True,https://www.soundjam.co/
UK,Soundly,London,,"e-marketplace, Blockchain, Artificial Intelligence.",2020,True,https://soundly.art/
Ireland,Soundmix,Dublin,,"hybrid events, virtual, live video streaming, ticketing, payment",2021,True,https://eventmix.live/
UK,Soundplate Clicks,London,,"Marketing, Music, Gig",2018,True,https://click.soundplate.com
Italy,Soundreef,Milano,17500000.0,"Music, Publishing, Transparency",2015,True,https://www.soundreef.com/
